"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
camisa-vint-blanco-1ku01;"Camisa Vint Blanco";"OTOÑO - INVIERNO > CAMISAS Y BLUSAS, NOVEDADES";Talle;S;;;;;36,900.00;31,365.00;0.10;30.00;30.00;1.00;26;SIMO14169;;SI;NO;"<p data-start=""0"" data-end=""67"">Camisa escote en V con volados &ndash; femenina, delicada y elegante ?</p>
<p data-start=""69"" data-end=""199"">? <strong data-start=""71"" data-end=""84"">Material:</strong> Confeccionada en tela liviana de excelente calidad, suave al tacto y con una ca&iacute;da fluida que aporta movimiento.</p>
<p data-start=""201"" data-end=""308"">? <strong data-start=""203"" data-end=""214"">Dise&ntilde;o:</strong> Camisa con escote en V y volados en el frente que suman un detalle rom&aacute;ntico y sofisticado.</p>
<p data-start=""310"" data-end=""395"">? <strong data-start=""312"" data-end=""322"">Calce:</strong> Corte c&oacute;modo y favorecedor que se adapta al cuerpo sin ajustar de m&aacute;s.</p>
<p data-start=""397"" data-end=""556"">? <strong data-start=""399"" data-end=""410"">Estilo:</strong> Perfecta para looks elegantes o casual chic. Combina muy bien con jeans, pantalones sastreros o faldas, logrando un outfit delicado y vers&aacute;til.</p>
<p data-start=""0"" data-end=""63"">&nbsp;</p>
<p data-start=""558"" data-end=""657"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""558"" data-end=""571"">Cuidados:</strong><br data-start=""571"" data-end=""574"" />&bull; Lavar a mano o en ciclo delicado.<br data-start=""609"" data-end=""612"" />&bull; No usar lavandina.<br data-start=""632"" data-end=""635"" />&bull; Secar a la sombra.&nbsp;</p>
<table dir=""ltr"" style=""table-layout: fixed; font-size: 10pt; font-family: Arial; width: 0px; border-collapse: collapse; border-image: initial; border: medium none currentcolor;"" border=""1"" cellspacing=""0"" cellpadding=""0"" data-sheets-root=""1"" data-sheets-baot=""1""><colgroup><col width=""100"" /><col width=""100"" /><col width=""100"" /><col width=""100"" /></colgroup>
<tbody>
<tr style=""height: 21px;"">
<td style=""border: 1px solid #000000; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">MEDIDAS</td>
<td style=""border-width: 1px; border-style: solid; border-color: #000000 #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">HOMBROS</td>
<td style=""border-width: 1px; border-style: solid; border-color: #000000 #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">SISA</td>
<td style=""border-width: 1px; border-style: solid; border-color: #000000 #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">LARGO</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE S</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">41 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding-top: 2px; padding-right: 3px; padding-bottom: 2px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">49 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding-top: 2px; padding-right: 3px; padding-bottom: 2px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">59 CM</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE M</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">42 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding-top: 2px; padding-right: 3px; padding-bottom: 2px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">51 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">60 CM</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE L</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">43 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding-top: 2px; padding-right: 3px; padding-bottom: 2px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">53 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">61 CM</td>
</tr>
</tbody>
</table>
<p data-start=""588"" data-end=""674"" data-is-last-node="""" data-is-only-node=""""><br />La modelo de la foto usa talle S y Ale usa talle M.</p>
<p data-start=""588"" data-end=""674"" data-is-last-node="""" data-is-only-node="""">TODAS LAS MEDIDAS SON LINEALES Y APROXIMADAS, NO SON DE CONTORNO.</p>";"camisa, elegante, femenina, negro";;;Simona;SI;;;;
camisa-vint-blanco-1ku01;;;Talle;M;;;;;36,900.00;31,365.00;0.10;30.00;30.00;1.00;34;SIMO14170;;;;;;;;;;;;;
camisa-vint-blanco-1ku01;;;Talle;L;;;;;36,900.00;31,365.00;0.10;30.00;30.00;1.00;48;SIMO14171;;;;;;;;;;;;;
camisa-vint-negro-nn2wt;"Camisa Vint Negro";"OTOÑO - INVIERNO > CAMISAS Y BLUSAS, NOVEDADES";Talle;S;;;;;36,900.00;31,365.00;0.10;30.00;30.00;1.00;29;SIMO14166;;SI;NO;"<p data-start=""0"" data-end=""67"">Camisa escote en V con volados &ndash; femenina, delicada y elegante ?</p>
<p data-start=""69"" data-end=""199"">? <strong data-start=""71"" data-end=""84"">Material:</strong> Confeccionada en tela liviana de excelente calidad, suave al tacto y con una ca&iacute;da fluida que aporta movimiento.</p>
<p data-start=""201"" data-end=""308"">? <strong data-start=""203"" data-end=""214"">Dise&ntilde;o:</strong> Camisa con escote en V y volados en el frente que suman un detalle rom&aacute;ntico y sofisticado.</p>
<p data-start=""310"" data-end=""395"">? <strong data-start=""312"" data-end=""322"">Calce:</strong> Corte c&oacute;modo y favorecedor que se adapta al cuerpo sin ajustar de m&aacute;s.</p>
<p data-start=""397"" data-end=""556"">? <strong data-start=""399"" data-end=""410"">Estilo:</strong> Perfecta para looks elegantes o casual chic. Combina muy bien con jeans, pantalones sastreros o faldas, logrando un outfit delicado y vers&aacute;til.</p>
<p data-start=""0"" data-end=""63"">&nbsp;</p>
<p data-start=""558"" data-end=""657"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""558"" data-end=""571"">Cuidados:</strong><br data-start=""571"" data-end=""574"" />&bull; Lavar a mano o en ciclo delicado.<br data-start=""609"" data-end=""612"" />&bull; No usar lavandina.<br data-start=""632"" data-end=""635"" />&bull; Secar a la sombra.&nbsp;</p>
<table dir=""ltr"" style=""table-layout: fixed; font-size: 10pt; font-family: Arial; width: 0px; border-collapse: collapse; border-image: initial; border: medium none currentcolor;"" border=""1"" cellspacing=""0"" cellpadding=""0"" data-sheets-root=""1"" data-sheets-baot=""1""><colgroup><col width=""100"" /><col width=""100"" /><col width=""100"" /><col width=""100"" /></colgroup>
<tbody>
<tr style=""height: 21px;"">
<td style=""border: 1px solid #000000; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">MEDIDAS</td>
<td style=""border-width: 1px; border-style: solid; border-color: #000000 #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">HOMBROS</td>
<td style=""border-width: 1px; border-style: solid; border-color: #000000 #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">SISA</td>
<td style=""border-width: 1px; border-style: solid; border-color: #000000 #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">LARGO</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE S</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">41 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding-top: 2px; padding-right: 3px; padding-bottom: 2px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">49 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding-top: 2px; padding-right: 3px; padding-bottom: 2px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">59 CM</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE M</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">42 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding-top: 2px; padding-right: 3px; padding-bottom: 2px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">51 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">60 CM</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE L</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">43 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding-top: 2px; padding-right: 3px; padding-bottom: 2px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">53 CM</td>
<td style=""border-width: 1px; border-style: solid; border-color: #cccccc #000000 #000000 #cccccc; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">61 CM</td>
</tr>
</tbody>
</table>
<p data-start=""588"" data-end=""674"" data-is-last-node="""" data-is-only-node=""""><br />La modelo de la foto usa talle S y Ale usa talle M.</p>
<p data-start=""588"" data-end=""674"" data-is-last-node="""" data-is-only-node="""">TODAS LAS MEDIDAS SON LINEALES Y APROXIMADAS, NO SON DE CONTORNO.</p>";"camisa, elegante, femenina, negro";"Camisa Vint Negro con volados, elegante y femenina";"Descubrí la Camisa Vint Negro con escote en V y volados. Tela liviana, toque romántico y versátil. ¡Sumala a tus looks chic hoy!";Simona;SI;;;;
camisa-vint-negro-nn2wt;;;Talle;M;;;;;36,900.00;31,365.00;0.10;30.00;30.00;1.00;36;SIMO14167;;;;;;;;;;;;;
camisa-vint-negro-nn2wt;;;Talle;L;;;;;36,900.00;31,365.00;0.10;30.00;30.00;1.00;48;SIMO14168;;;;;;;;;;;;;
camisa-cultura-choco-y-beige-1cr74;"Camisa Cultura Choco y Beige";"OTOÑO - INVIERNO > CAMISAS Y BLUSAS, NOVEDADES";Talle;S;;;;;56,500.00;48,025.00;0.20;30.00;30.00;1.00;11;SIMO14147;;SI;NO;"<p>Camisa de poplin con detalle en espalda &ndash; moderna, vers&aacute;til y con un giro inesperado ?</p>
<p>? Material: Confeccionada en poplin liviano y fresco, ideal para un uso c&oacute;modo durante todo el d&iacute;a.</p>
<p>? Dise&ntilde;o: Silueta amplia tipo caja cuadrada con mangas ranglan que aportan un look relajado y actual. Se destaca por su original cartera de botones en la espalda, sumando un detalle &uacute;nico.</p>
<p>? Calce: Fit holgado que brinda libertad de movimiento y un estilo descontracturado sin perder elegancia.</p>
<p>? Estilo: Perfecta para looks urbanos o m&aacute;s sofisticados. Combina f&aacute;cilmente con jeans, sastreros o faldas, adapt&aacute;ndose a distintas ocasiones con un toque distintivo.</p>
<p>&nbsp;</p>
<table dir=""ltr"" style=""table-layout: fixed; font-size: 10pt; font-family: Arial; width: 0px; border: none;"" border=""1"" cellspacing=""0"" cellpadding=""0"" data-sheets-root=""1"" data-sheets-baot=""1""><colgroup><col width=""100"" /><col width=""100"" /><col width=""100"" /></colgroup>
<tbody>
<tr style=""height: 21px;"">
<td style=""border-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">MEDIDAS</td>
<td style=""border-top-color: #000000; border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">SISA</td>
<td style=""border-top-color: #000000; border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">LARGO</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-left-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE S</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">59 CM</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">58 CM</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-left-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE M</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">61 CM</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">59 CM</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-left-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE L</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">63 CM</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">60 CM</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<p>Cami usa talle S, Ale usa talle M.</p>
<p>TODAS LAS MEDIDAS SON APROXIMADAS Y LINEALES. NO SON EL CONTORNO.</p>";"camisa, moderna, Simona, urbano, versatil";;;Simona;SI;;;;
camisa-cultura-choco-y-beige-1cr74;;;Talle;M;;;;;56,500.00;48,025.00;0.20;30.00;30.00;1.00;28;SIMO14148;;;;;;;;;;;;;
camisa-cultura-choco-y-beige-1cr74;;;Talle;L;;;;;56,500.00;48,025.00;0.20;30.00;30.00;1.00;35;SIMO14149;;;;;;;;;;;;;
camisa-cultura-azul-132xi;"Camisa Cultura Azul";"OTOÑO - INVIERNO > CAMISAS Y BLUSAS, NOVEDADES";Talle;S;;;;;56,500.00;48,025.00;0.20;30.00;30.00;1.00;5;SIMO14144;;SI;NO;"<p>Camisa de poplin con detalle en espalda &ndash; moderna, vers&aacute;til y con un giro inesperado ?</p>
<p>? Material: Confeccionada en poplin liviano y fresco, ideal para un uso c&oacute;modo durante todo el d&iacute;a.</p>
<p>? Dise&ntilde;o: Silueta amplia tipo caja cuadrada con mangas ranglan que aportan un look relajado y actual. Se destaca por su original cartera de botones en la espalda, sumando un detalle &uacute;nico.</p>
<p>? Calce: Fit holgado que brinda libertad de movimiento y un estilo descontracturado sin perder elegancia.</p>
<p>? Estilo: Perfecta para looks urbanos o m&aacute;s sofisticados. Combina f&aacute;cilmente con jeans, sastreros o faldas, adapt&aacute;ndose a distintas ocasiones con un toque distintivo.</p>
<p>&nbsp;</p>
<table dir=""ltr"" style=""table-layout: fixed; font-size: 10pt; font-family: Arial; width: 0px; border: none;"" border=""1"" cellspacing=""0"" cellpadding=""0"" data-sheets-root=""1"" data-sheets-baot=""1""><colgroup><col width=""100"" /><col width=""100"" /><col width=""100"" /></colgroup>
<tbody>
<tr style=""height: 21px;"">
<td style=""border-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">MEDIDAS</td>
<td style=""border-top-color: #000000; border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">SISA</td>
<td style=""border-top-color: #000000; border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; font-weight: bold; text-align: center;"">LARGO</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-left-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE S</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">59 CM</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">58 CM</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-left-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE M</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">61 CM</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">59 CM</td>
</tr>
<tr style=""height: 21px;"">
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-left-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom;"">TALLE L</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">63 CM</td>
<td style=""border-right-color: #000000; border-bottom-color: #000000; border-image: initial; overflow: hidden; padding: 2px 3px; vertical-align: bottom; background-color: #ffffff; text-align: center;"">60 CM</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<p>Cami usa talle S, Ale usa talle M.</p>
<p>TODAS LAS MEDIDAS SON APROXIMADAS Y LINEALES. NO SON EL CONTORNO.</p>";"camisa, moderna, Simona, urbano, versatil";;;Simona;SI;;;;
